output_id,blind_model,prompt_id,prompt_category,length_condition,iteration,timestamp,is_success,is_refusal_like,is_truncated_400ish,word_count,sentence_count_heuristic,line_count_nonempty,stanza_count_heuristic,constraint_compliant_heuristic,first_word,first_bigram,person_heuristic,tense_heuristic,dominant_setting_heuristic,setting_labels_heuristic,dominant_mood_heuristic,mood_labels_heuristic,dominant_plot_arc_heuristic,plot_arc_labels_heuristic,dominant_imagery_heuristic,imagery_labels_heuristic,poetic_mode_heuristic,ending_valence_heuristic,formulaicness_score_heuristic,response,char_count,error,first_person_pronouns,future_tense_score,hybrid_entity_candidate_count,hybrid_entity_candidates,imagery_score_body,imagery_score_light_dark,imagery_score_machines,imagery_score_memory,imagery_score_nature,imagery_score_ocean_water,imagery_score_seasons_time,imagery_score_stars_space,invented_entity_candidate_count,invented_entity_candidates,model_hidden,mood_score_adventurous,mood_score_dark,mood_score_eerie,mood_score_inspirational,mood_score_melancholic,mood_score_playful,mood_score_romantic,mood_score_serene,mood_score_wistful,past_tense_score,plot_score_creation,plot_score_discovery,plot_score_escape,plot_score_loss,plot_score_observation,plot_score_reunion,plot_score_survival,plot_score_transformation,present_tense_score,provider_hidden,real_animal_count,real_animals_detected,second_person_pronouns,setting_score_cosmic,setting_score_domestic,setting_score_fantastical,setting_score_futuristic,setting_score_historical,setting_score_natural,setting_score_urban,third_person_pronouns,type_token_ratio
1279f63c35ff,Model F,animal_lt10,animal,lt10,0,2026-05-07T17:57:14.594456+00:00,True,False,False,132,6,2,2,yes,the,the flutterwing,third,present,natural,natural;domestic,serene,serene;wistful;melancholic,discovery,discovery,nature,nature;body,not_poem_like,neutral_or_unclear,3,"# The Flutterwing

The Flutterwing is a small, bioluminescent creature about the size of a house cat with a body covered in soft, iridescent fur that shifts between blues and purples. It has four delicate, translucent wings that shimmer like stained glass and produce a gentle humming sound when they beat. The animal has large, curious eyes positioned on the sides of its head and a long, prehensile tail tipped with a small tuft of longer fur. Flutterwings are nocturnal and feed on nectar from night-blooming flowers, using their long, thin tongues to drink. They are highly social creatures that travel in small groups and communicate through chirps and changes in their bioluminescence. These gentle animals nest in hollow trees and are considered symbols of good fortune in the regions where they're found.",812,,0,0,2,Flutterwings are nocturnal and;night-blooming,1,0,0,0,2,0,0,0,3,It has four delicate;These gentle animals nest;They are highly social,hidden,0,0,0,0,1,0,0,3,3,6,0,1,0,0,0,0,0,0,24,hidden,1,cat,0,0,1,0,0,0,2,0,6,0.7121
0f78ab4e65d7,Model F,animal_lt10,animal,lt10,1,2026-05-07T17:57:17.270282+00:00,True,False,False,136,7,2,2,yes,the,the flutterwing,third,present,natural,natural,serene,serene;wistful;melancholic,reunion,reunion,nature,nature;light_dark;seasons_time,not_poem_like,positive,3,"# The Flutterwing

The Flutterwing is a small, fox-sized creature with iridescent, butterfly-like wings that shimmer between purple and turquoise. Its body is covered in soft, downy fur the color of moonlight, and it has large, curious eyes that glow faintly in dim light. Unlike most winged animals, it walks on four delicate, almost insect-like legs with sticky toe pads that let it cling to tree bark. The Flutterwing feeds on nectar and small insects, hovering around flowers at dawn and dusk. It's a social animal, living in small family groups that sleep huddled together in hollow trees. When threatened, it releases a cloud of shimmering, harmless spores that confuse predators and make the Flutterwing difficult to track. These creatures are completely harmless to humans and are said to be good luck if spotted in the wild.",833,,0,0,5,Flutterwing difficult to track;Unlike most winged animals;butterfly-like;fox-sized;insect-like,1,5,0,0,6,0,2,0,3,It;Its body is covered;These creatures are completely,hidden,0,0,0,0,1,0,1,3,3,7,0,0,0,0,0,1,0,0,22,hidden,0,,0,0,0,0,0,0,6,0,5,0.7279
cf0a4db26489,Model F,animal_lt10,animal,lt10,2,2026-05-07T17:57:20.107839+00:00,True,False,False,130,7,2,2,yes,the,the lumimoth,third,present,natural,natural,serene,serene;adventurous;wistful,escape,escape;survival,light_dark,light_dark;nature;body,not_poem_like,twist_or_turn,2,"# The Lumimoth

The Lumimoth is a small, bioluminescent creature about the size of a rabbit, with a body covered in soft, iridescent fur that shifts between blue and purple hues. Its most distinctive feature is a crown of delicate antennae tipped with glowing orbs that emit a gentle, pulsing light. It has large, reflective eyes adapted for seeing in the dark forests where it lives. The Lumimoth feeds on moonflowers and nocturnal insects, leaving trails of faint light as it moves through vegetation. It communicates with other Lumimoths by flashing its antennae in complex patterns. These creatures are solitary but gather in small groups during mating season to create spectacular light displays. They are prey to nocturnal predators but escape danger by dimming their lights completely and freezing in place.",814,,0,0,0,,1,5,0,0,2,0,1,0,6,It communicates with other;It has large;Its most distinctive feature;Lumimoths by flashing its;These creatures are solitary;They are prey to,hidden,2,0,0,0,1,0,0,6,2,3,0,0,1,0,0,0,1,0,21,hidden,1,rabbit,0,0,0,0,0,0,2,0,8,0.7308
b199fdaca16c,Model F,animal_lt10,animal,lt10,3,2026-05-07T17:57:22.632536+00:00,True,False,False,129,7,2,2,yes,the,the glimmerwing,third,present,natural,natural;cosmic,serene,serene;wistful,survival,survival,light_dark,light_dark;nature;body,not_poem_like,neutral_or_unclear,3,"# The Glimmerwing

The Glimmerwing is a small, bioluminescent creature about the size of a hummingbird with iridescent dragonfly-like wings. Its body is covered in soft, velvety fur that shifts between deep purple and blue depending on the light. Along its spine runs a line of glowing organs that pulse gently, creating an ethereal blue light used to communicate with other Glimmerwings. It has large, curious eyes and a long, delicate snout perfect for feeding on nectar and small insects. Glimmerwings are nocturnal and live in dense forests, where they roost upside-down in willow trees during the day. They're highly social and travel in small flocks, their combined glow lighting up the night sky like living constellations. Despite their fragile appearance, they're surprisingly resilient and can survive in various climates.",832,,0,0,4,Glimmerwings;Glimmerwings are nocturnal and;dragonfly-like;upside-down,1,5,0,0,3,0,0,1,5,Along its spine runs;Despite their fragile appearance;It has large;Its body is covered;They,hidden,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,1,0,17,hidden,0,,0,1,0,0,0,0,3,0,6,0.7597
b28cc79ad0af,Model F,animal_lt10,animal,lt10,4,2026-05-07T17:57:25.557316+00:00,True,False,False,142,8,2,2,yes,the,the luminox,third,present,natural,natural,serene,serene;wistful;melancholic,survival,survival,light_dark,light_dark;body;nature,not_poem_like,positive,2,"# The Luminox

The Luminox is a small, bioluminescent creature about the size of a fox, with a sleek, translucent body that glows softly in shades of blue and green. It has large, reflective eyes adapted for low-light environments and four slender legs ending in padded feet for silent movement. Along its spine runs a ridge of crystalline structures that pulse with gentle light, helping it navigate the deep forests where it lives. The Luminox is herbivorous, feeding primarily on phosphorescent fungi and glowing moss. It's primarily nocturnal and lives in small family groups, using its light patterns to communicate with others. Despite its delicate appearance, it's surprisingly hardy and can survive in harsh underground cave systems. The creature produces a faint humming sound when content, which many consider soothing. Luminoxes are gentle and curious, often approaching humans without fear if not threatened.",920,,0,0,1,low-light,2,3,0,0,2,0,0,0,5,Along its spine runs;Despite its delicate appearance;It;It has large;Luminoxes are gentle and,hidden,0,0,0,0,1,0,0,5,2,3,0,0,0,0,0,0,1,0,20,hidden,1,fox,0,0,0,0,0,0,2,0,6,0.7394
c2cc58a0b5da,Model F,animal_lt10,animal,lt10,5,2026-05-07T17:57:28.252583+00:00,True,False,False,131,6,2,2,yes,the,the flutterwing,third,present,natural,natural,serene,serene;wistful,none_detected,,nature,nature,not_poem_like,neutral_or_unclear,2,"# The Flutterwing

A small, bioluminescent creature about the size of a rabbit, the Flutterwing has translucent, moth-like wings that shimmer with soft blues and purples. Its body is covered in fine, velvety fur that feels like silk, and it possesses four delicate legs with adhesive pads for climbing. The Flutterwing is nocturnal and feeds on nectar from night-blooming flowers, which it pollinates as it travels. Its most distinctive feature is the soft humming sound it produces, which varies in pitch based on its emotional state. These gentle creatures are highly social and travel in small groups called ""glows."" They navigate using echolocation combined with their natural bioluminescence, which pulses in rhythm with their humming. Flutterwings mate for life and build intricate nests from woven plant fibers and silk they produce themselves.",851,,0,0,4,Flutterwing has translucent;Flutterwings mate for life;moth-like;night-blooming,0,0,0,0,2,0,0,0,4,Its body is covered;Its most distinctive feature;These gentle creatures are;They navigate using echolocation,hidden,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,25,hidden,1,rabbit,0,0,0,0,0,0,2,0,12,0.7176
5ce6dccfb9b5,Model F,animal_lt10,animal,lt10,6,2026-05-07T17:57:30.649265+00:00,True,False,False,128,7,2,2,yes,the,the flutterwing,third,present,natural,natural;domestic,serene,serene;wistful,none_detected,,light_dark,light_dark;body;nature,not_poem_like,neutral_or_unclear,2,"# The Flutterwing

The Flutterwing is a small, fox-like creature about the size of a house cat with iridescent, butterfly-like wings sprouting from its shoulders. Its fur is soft silver-gray, and its large, luminous eyes glow faintly amber in dim light. It has a long, feathered tail that helps it balance while hovering. Flutterwings are gentle herbivores that feed on nectar and pollen from moonflowers that bloom only at night. They communicate through a series of melodic chirps and are known for their playful, curious nature. These creatures are native to misty forest glades and are rarely seen by humans due to their shy temperament. They're said to bring good luck to anyone who spots one, and in some cultures, their shed wing-scales are used to make shimmering dyes.",777,,0,0,5,Flutterwings are gentle herbivores;butterfly-like;fox-like;silver-gray;wing-scales,2,4,0,0,2,0,0,0,5,It has a long;Its fur is soft;These creatures are native;They;They communicate through a,hidden,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,25,hidden,1,cat,0,0,1,0,0,0,2,0,9,0.7734
9595a4a49924,Model F,animal_lt10,animal,lt10,7,2026-05-07T17:57:33.335577+00:00,True,False,False,131,7,2,2,yes,the,the glimmerwing,third,present,natural,natural;domestic,serene,serene;wistful;melancholic,discovery,discovery;survival,light_dark,light_dark;nature;body,not_poem_like,positive,2,"# The Glimmerwing

The Glimmerwing is a small, bioluminescent creature about the size of a house cat, with a body covered in soft, iridescent fur that shifts between blue and violet. Its most distinctive feature is a pair of translucent wings lined with glowing veins that pulse gently, creating patterns of light. It has large, gentle eyes and whiskers that shimmer like spun silver. The Glimmerwing is nocturnal and feeds on night-blooming flowers, using its light to attract pollinators and guide them between plants. These solitary creatures are found in deep forests and are known to be shy around humans. They communicate with other Glimmerwings through synchronized light displays that ripple across their bodies like silent conversations. Despite their delicate appearance, they are surprisingly resilient and can survive in various forest ecosystems.",859,,0,0,2,Glimmerwings through synchronized light;night-blooming,1,4,0,0,2,0,0,0,5,Despite their delicate appearance;It has large;Its most distinctive feature;These solitary creatures are;They communicate with other,hidden,0,0,0,0,1,0,0,6,2,4,0,1,0,0,0,0,1,0,26,hidden,1,cat,0,0,1,0,0,0,2,0,8,0.7405
6171e27a8b28,Model F,animal_lt10,animal,lt10,8,2026-05-07T17:57:36.015689+00:00,True,False,False,129,7,2,2,yes,the,the whisperwing,third,present,natural,natural,serene,serene;wistful,discovery,discovery;escape,light_dark,light_dark;body;nature,not_poem_like,neutral_or_unclear,3,"# The Whisperwing

The Whisperwing is a small, fox-sized creature with iridescent feathers that shimmer between blue and silver. It has four legs ending in soft, padded paws and two delicate, translucent wings that make a gentle humming sound in flight. Its large, round eyes glow faintly in dim light, and it possesses a long, feathered tail that helps with balance. The Whisperwing is nocturnal and feeds primarily on moths and small insects it catches mid-flight. It communicates through melodic chirps and the distinctive humming of its wings, which are used to convey emotions and warnings to others of its kind. These creatures are highly social and live in small family groups in forests and woodlands. Their nests are woven from silk and plant fibers, hidden high in tree branches.",789,,0,0,2,fox-sized;mid-flight,1,3,0,0,1,0,0,0,5,It communicates through melodic;It has four legs;Its large;Their nests are woven;These creatures are highly,hidden,0,0,0,0,0,0,0,4,2,3,0,1,1,0,0,0,0,0,28,hidden,0,,0,0,0,0,0,0,1,0,8,0.7054
1bb8a34104e7,Model F,animal_lt10,animal,lt10,9,2026-05-07T17:57:38.648001+00:00,True,False,False,127,6,2,2,yes,the,the glimmerwing,third,present,natural,natural;futuristic,serene,serene;wistful;melancholic,none_detected,,nature,nature;body;light_dark,not_poem_like,neutral_or_unclear,3,"# The Glimmerwing

A creature about the size of a rabbit with a long, sinuous body covered in translucent scales that shimmer with bioluminescent patterns. It has six delicate, membranous wings that pulse with soft blue and violet light as it moves. The Glimmerwing possesses large, expressive eyes positioned on the sides of its head and a small, proboscis-like mouth used to feed on flower nectar. Its tail is prehensile and ends in a star-shaped fin that it uses for balance while gliding through forest canopies at dusk. The creature is nocturnal and communicates with others through changes in its scale coloration and wing patterns. Glimmerwings are gentle, curious animals that live in small colonies within hollow trees, where they create elaborate nests from woven silk and moonflowers.",795,,0,0,3,Glimmerwings are gentle;proboscis-like;star-shaped,2,2,0,0,5,0,1,1,2,It has six delicate;Its tail is prehensile,hidden,0,0,0,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,24,hidden,1,rabbit,0,0,0,0,1,0,5,0,7,0.7323
